	Stop number	Name without locality	Locality	Locality number	Code	Stop No	NaPTAN stop class	NaPTANId	Easting	Northing	lat	lon
13270	14610	Hacketstown Cottages	Skerries	E0824013	->N	37	BCT	8240DB003791	725636	758638	53.56259135	-6.103487255
13271	14611	Hacketstown Park	Skerries	E0824013	->N	37	BCT	8240DB003792	725692	759026	53.56606284	-6.102486411
13272	14613	Holmpatrick (Rugby Club)	Skerries	E0824013	->NW	3794	BCT	8240DB003794	725704	759800	53.57301176	-6.101994004
13273	14613	Holmpatrick (Rugby Club)	Skerries	E0824013	->SE	3823	BCT	8240DB003823	725732	759774	53.57277153	-6.10158195
13274	14614	Pierstown Lane	Skerries	E0824013	->N	3790	BCT	8240DB003790	725707	758199	53.55863141	-6.102592641
13275	14615	Lambay View	Ballykea	E0824030	->NW	3786	BCT	8240DB003786	726187	756387	53.54224154	-6.096082836
13276	14617	Skerries Road	Ballykea	E0824030	->N1	3788	BCT	8240DB003788	725767	757282	53.55038084	-6.102056287
13277	14617	Skerries Road	Ballykea	E0824030	->N2	3828	BCT	8240DB003828	725782	757235	53.54995511	-6.101848955
13278	14618	Curkeen Lane Water Works	Ballykea	E0824030	->N	378	BCT	8240DB003789	725765	757700	53.55413566	-6.101918395
13279	14619	Northcliffe Heights	Skerries	E0824013	->NE	380	BCT	8240DB003802	724122	760739	53.58182212	-6.125493349
13280	14619	Northcliffe Heights	Skerries	E0824013	->SW	3815	BCT	8240DB003815	724155	760780	53.58218257	-6.12497897
13281	14620	Kelly's Bay Parade	Skerries	E0824013	->NW	3805	BCT	8240DB003805	722606	761089	53.5853222	-6.148237518
13282	14621	Derham Park	Balbriggan	E0824005	->NW	3807	BCT	8240DB003807	721055	763242	53.60502054	-6.170814279
13283	14622	Kellys Bay (Mourne Drive)	Skerries	E0824013	->NE	380	BCT	8240DB003801	723994	760604	53.58063985	-6.127478892
13284	14622	Kellys Bay (Mourne Drive)	Skerries	E0824013	->SW	3816	BCT	8240DB003816	723984	760585	53.58047156	-6.127637364
13285	14624	Strand Street (Manning's Opening)	Skerries	E0824013	->S	3797	BCT	8240DB003797	725401	760434	53.57877862	-6.106311734
13286	14625	Strand Street (Monument)	Skerries	E0824013	->N	3798	BCT	8240DB003798	725350	760617	53.58043445	-6.107007973
13287	14625	Strand Street (Monument)	Skerries	E0824013	->S	381	BCT	8240DB003819	725372	760577	53.58006992	-6.106691995
13289	14626	Thomas Hand Street	Skerries	E0824013	->SW	37	BCT	8240DB003799	725149	760545	53.57983574	-6.110070443
13290	14626	Thomas Hand Street	Skerries	E0824013	->NE	3818	BCT	8240DB003818	725141	760548	53.57986459	-6.11018998
13291	14627	Clifflands Estate	Rush	E0824012	->NW	3785	BCT	8240DB003785	726416	756058	53.53923154	-6.092762637
13292	14628	Outside Train Station	Lusk	E0824008	->E	3770	BCT	8240DB003770	723033	753983	53.52139692	-6.144587189
13293	14628	Outside Train Station	Lusk	E0824008	->W	3850	BCT	8240DB003850	722921	754002	53.52159377	-6.146267794
13294	14629	Lusk Road	Rush	E0824012	->E	377	BCT	8240DB003771	723916	753705	53.51869264	-6.131388673
13295	14630	Lusk Road	Rush	E0824012	->E	377	BCT	8240DB003772	724249	753653	53.51814701	-6.126390703
13296	14631	junction Spout Road	Rush	E0824012	->E	3773	BCT	8240DB003773	724429	753631	53.51790686	-6.123686728
13297	14632	Lusk Road (Bishop Land)	Rush	E0824012	->SE	376	BCT	8240DB003769	723440	753894	53.52050216	-6.138487987
13298	14632	Lusk Road (Bishop Land)	Rush	E0824012	->NW	3848	BCT	8240DB003848	723448	753877	53.52034758	-6.138374111
